"Reference","Quantity","Value","Digi-Key Part #"
"C1, ","1",".33uF","445-173446-1-ND"
"C2, ","1","10uF","478-TAP106K016CRSCT-ND"
"C3, C4, C5, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, ","18",".1uF","399-9877-1-ND"
"C6, ","1","22uF","478-7373-1-ND"
"D1, ","1","RED LED","160-1035-ND"
"D2, ","1","YELLOW LED","160-1961-ND"
"D3, ","1","GREEN LED","732-5008-ND"
"J1, ","1","Conn_01x02","900-0022232021-ND"
"J2, J3, J4, J5, J6, ","5","Conn_02x08_Odd_Even","S9171-ND"
"L1, ","1","10uH","RLB0914-100KL-ND"
"R1, R3, ","2","10K","S10KQCT-ND"
"R2, ","1","4.7K","S4.7KQCT-ND"
"U1, ","1","LM7805_TO220","497-12404-ND"
"U2, ","1","cui","102-4259-ND"
